!groups	V3,V5,V6,S
!colors	#E9142D,#6CBE4A,#3C52A2,#FCCD2B
# -- legends --
#!legendstyle	circle
#!showLegends	1
#!byarea	1
#!grid	1
!gridlabel	1
#!defaultStrokeWidth	2
!dotplots	shape=circle,margin=2,colwidth=15,roundedcorner=3
#!showdataValue	show=1,fontsize=12,fontitalic=0,textalign=start,fontcolor=black
!showlegends	0
NC_013790	1,2,0,2
NZ_GG774892	2,2,5,5
AB595138	2,2,2,2
NZ_ACZS01000106	2,2,1,2
EU137441	2,0,2,2
FJ976373	2,1,2,5
NC_016610	2,2,2,5
EU644465	2,2,1,5
FJ976433	1,2,2,2
NZ_ACLQ01000008	5,5,5,5
NZ_AFFY01000068	2,2,2,2
NC_013162	1,2,1,2
NZ_ABZV01000054	2,2,2,5
GQ354955	0,0,5,1
FJ470446	2,1,1,5
FJ470578	2,0,1,2
FJ976442	2,1,2,5
FJ976276	1,2,2,2
EU681966	5,0,1,5
AJ318200	5,0,0,1
FJ470435	5,0,0,5
AM420151	5,5,2,5
FJ976444	2,2,2,2
NZ_AEPS01000017	2,2,2,5
NC_007146	1,1,2,2
FJ976321	2,2,1,5
NZ_ACEA01000028	5,5,1,2
NC_002946	5,5,2,5
NZ_AEQP01000026	2,5,2,5
GQ010546	2,0,0,5
NC_010002	0,1,2,2
AM420229	2,2,2,2
FJ976437	5,5,0,5
EU592964	5,5,0,5
FJ982977	0,2,0,1
AB603809	5,0,0,1
FJ470486	5,0,5,5
FJ976416	1,0,2,2
NZ_ACEB01000045	2,2,5,5
NC_013715	1,0,2,2
NZ_ACYT02000005	2,2,2,2
AJ421779	2,0,2,2
AB490162	5,0,5,2
GU227175	2,0,2,5
NZ_ACRE01000096	5,2,2,5
GQ087515	5,1,2,5
FJ976431	2,2,2,2
FJ976446	5,5,2,5
NZ_GG770343	2,2,5,5
NC_013192	1,1,2,2
FJ976247	2,2,2,2
FJ976370	1,1,2,2
EU137409	1,2,5,5
JN713473		0,0,2,2
AY331414	5,5,5,5
AF033303	2,2,2,2
JN713303		2,2,2,2
FJ976398	2,0,2,2	
GU227190	1,2,2,2
FJ976390	5,2,5,5
FJ976236	2,2,2,5
FJ470460	2,2,2,2
NZ_ACZM01000023	2,2,2,2
NC_015437	2,0,2,2
JF231418	2,2,2,2
NZ_ACDZ02000008	2,2,2,2
NC_006449	5,2,5,5
NZ_ACKZ01000002	5,2,5,5
NZ_ACIL02000016	2,2,2,2
AY341821	5,2,2,5
JN713189		2,0,0,2
GQ158347	5,0,5,5
JN713558		0,2,2,2
FJ470518	2,2,2,2
AF287778	5,2,2,2
AB175072	5,1,5,5
JF132933	5,5,5,5
NZ_AFII01000001	0,2,0,0
FJ508349	2,1,2,5
NZ_AEES01000073	5,5,5,5
AF287772	2,2,2,5
NZ_ACIN02000006	0,2,2,2
FJ976317	5,5,5,5
NZ_ACZL01000055	5,2,2,5
GQ000779	0,1,2,2
FJ976266	2,1,5,5
NZ_ADDS01000069	1,2,2,2
EU071465	2,2,2,5
JN713233		2,2,2,2
AJ005636	5,5,5,5
FJ983009	2,2,2,2
GU227208	2,2,2,2
GQ009412	1,0,5,2
EU071467	2,2,2,2
NZ_ACON01000003	2,5,5,5
HQ155739	0,2,0,0
AY134903	5,5,5,5
FJ982989	2,2,2,2
AM419965	5,5,5,5
EU842135	0,5,0,2
